MP_CODE,MP_NAME,Population
268007,Humansdorp,20123
268008,KwaNomzamo,8867
268009,Jeffrey's Bay,27107
268010,Kromrivier,41
268011,St Francis Bay,4933
268012,Oyster Bay,674
268013,Cape St Francis,342
269001,Misgund,415
269002,Kou-Kamma ,12201
269003,Louterwater,4829
269004,Krakeel River,1931
269005,Joubertina,5752
269006,Kareedouw,4985
269007,Coldstream,1657
269008,Stormsrivier,1670
269009,Boskop,90
269010,Thornham,664
269011,Nompumelelo,2449
269012,Sanddrif,280
269013,Tsitsikamma National Park,35
269014,Woodlands,1882
269015,Clarkson,1824
270001,KuMcuba,60
270002,Mbhashe ,1383
270003,KuMbanga A,348
270004,Singeni B,321
270005,eNdulini B,76
270006,Sompunzi,506
270007,Matati,208
270008,Siroshweni B,323
270009,eMgudlwane,354
270010,KwaJadezweni,134
270011,eMahlubeni,469
270012,eNtwashini B,165
270013,Makobokeni,465
270014,Bhetani B,136
270015,eNyandeni,305
270016,Bhetani A,452
270017,Siroshweni A,266
270018,KuNjemane,249
270019,Matshaweni,211
270020,KwaNoxabani,217
270021,Tizana,421
270022,Nqgaqeni,208
270023,KuGilandoda,463
270024,Mazangweni,185
270025,iXeni,77
270026,KuSilityiwa,517
270027,Ntsimba,669
270028,Makinana,75
270029,eXeni,355
270030,eMatolweni,419
270031,Nqabana,455
270032,eMangweni,168
270033,Bhijolo,83
270034,eMlenzeni,498
270035,eLalini H,311
270036,eQhokama,434
270037,Matolweni B,372
270038,Mishini,158
270039,Nkawukazi A,298
270040,eMabheleni,720
270041,Matshilibeni,254
270042,Mhuku,599
270043,eSihlabeni A,183
270044,eLalini D,407
270045,KuQeqe,327
270046,Jusaya,271
270047,eMazizini,275
270048,Ncambezana,261
270049,Ncihana,820
270050,Elliotdale,2267
270051,Kalalo Nobhula,411
270052,eNgxingweni,178
270053,Kweleda,140
270054,eQolweni,280
270055,Nkanunu,590
270056,Sitatwini,686
270057,KuLudondolo,268
270058,Nywara,542
270059,eLuxomo,349
270060,Candu,129
270061,Matolweni A,720
270062,KuVinindwa,504
270063,Mpozolo C,252
270064,KwaZulu,179
270065,Mhlota,254
270066,KwaBomvane,311
270067,KuCawe,275
270068,Kulohetsha,307
270069,Jalamba,593
270070,Dilayini,218
270071,Mpozolo,552
270072,Mamfengwini,494
270073,Lucwecwe Mdovi,24
270074,Wawa,417
270075,Mpakama,115
270076,Mcelwana Bhantizo,266
270077,Jeleveni,147
270078,Kulocheba,110
270079,Gonco,735
270080,KwaMrabi,198
270081,Kohlo,237
270082,Kulombola,417
270083,Matyamini,304
270084,Kuloganya,142
270085,Maqotongweni,315
270086,Mangqamra,209
270087,KuMandluntsha,28
270088,Sidabakweni,163
270089,KuMjelo,291
270090,eRhwantsini B,542
270091,KwaNdlambe,298
270092,Mkhukhwini,408
270093,Mqonci,174
270094,eGadini,446
270095,KwaZihlehleni,186
270096,Gungululu,146
270097,KuXholo,192
270098,eSihlabeni B,73
270099,Msikiti,280
270100,Mpozolo A,513
270101,Qokolweni,353
270102,Rafini,616
270103,Komkhulu F,217
270104,KwaLuvundu,387
270105,Mkhehle,454
270106,Ntengisani,320
270107,KuMbembesi,141
270108,Chaphaza,89
270109,Njakazi,153
270110,Mqe,276
270111,Tshwati,41
270112,Bonkolo,70
270113,KuGxara,214
270114,eMaxhame,320
270115,Lututu A,172
270116,Cizela,47
270117,Kweleni,374
270118,Bufumba,938
270119,Mcwasa,-
270120,KuNombete,334
270121,Ngcatelweni,797
270122,Ngxabani,313
270123,Mtshekelweni Lukrosweni,296
270124,Kubiyashe,206
270125,Ngezana,474
270126,KwaNotyekeza,477
270127,KwaMlindeli,422
270128,Ceru,110
270129,Nyoka,391
270130,Timani,2058
270131,Komkhulu C,462
270132,Ngcolosa,188
270133,eLalini C,288
270134,Qombe,226
270135,Phephezela,212
270136,Bavuma,536
270137,KuMngcitha,284
270138,KuChachazele,389
